"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"822448","UNKNOWN","START","","","GPRS","39,54695","-0,3052138889","46550","-54"
"855021","UNKNOWN","STOP","4438","7544","UNKNOWN","42,6386722222","-5,6506194444","24196","-100"
"803281","UNKNOWN","STOP","83840","78238","UNKNOWN","40,4738388889","-3,369425","28803","-57"
"699565","UNKNOWN","START","","","GPRS","40,3234","-3,7680861111","28912","-91"
"825850","UNKNOWN","STOP","2776","1484","UNKNOWN","36,6971111111","-4,454575","29004","-66"
"795283","UNKNOWN","START","","","GPRS","42,1014222222","1,8486388889","8600","-75"
"996777","UNKNOWN","STOP","20002","28126","UNKNOWN","43,3016472222","-1,9602944444","20014","-94"
"761568","UNKNOWN","STOP","0","0","UNKNOWN","41,3558638889","2,1154388889","8907","-98"
"762214","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,10805","8901","-102"
"802504","UNKNOWN","START","","","GPRS","40,4574361111","-3,726475","28040","-62"
"777106","UNKNOWN","START","","","GPRS","36,510275","-6,2783361111","11010","-74"
"777267","UNKNOWN","STOP","0","0","UNKNOWN","40,2503","-3,985275","28607","-93"
"777284","UNKNOWN","STOP","0","0","UNKNOWN","37,2701861111","-5,9176361111","41702","-67"
"777302","UNKNOWN","STOP","806","1450","UNKNOWN","40,4345861111","-3,553675","28823","-90"
"778313","UNKNOWN","STOP","0","0","UNKNOWN","42,8764638889","-8,544025","15701","-54"
"709172","UNKNOWN","START","","","GPRS","40,4154138889","-3,700675","28014","-69"
"824791","UNKNOWN","STOP","0","0","UNKNOWN","41,4160611111","2,13575","8023","-89"
"709393","UNKNOWN","START","","","GPRS","41,5326611111","2,0351638889","8228","-82"
"778328","UNKNOWN","STOP","1958","1464","UNKNOWN","37,7718","-3,785975","23003","-108"
"793194","UNKNOWN","START","","","GPRS","38,7062388889","0,1571","3724","-89"
